MSG ID,Message Name,Length,Byte,Bit Start,Data Name,Description,Data Type,Min,Max,Scaled Min,Scaled Max,Map Equation,Units,For Indexing Purposes,Status
0x000,Debug 2.0,8,,,,,,,,,,,,0,
,,,0-7,0,Debug,Essentially a print statement up to 8 bytes long that whichever targeted can parse,s,~,~,~,~,~,,0,
0x001,Debug FD,64,,,,,,,,,,,,1,
,,,0-63,0,Debug,Essentially a print statement up to 64 bytes long that whichever targeted can parse,s,~,~,~,~,~,,1,
0x002,Ping,4,,,,,,,,,,,,2,
,,,0-3,0,Timestamp,Time in millis,u32,0,"4,294,967,296",0,"4,294,967,296",1x,ms,2,
0x003,ECU Status 1,8,,,,,,,,,,,,3,
,,,0,0,ECU State,See diagram,u8,~,~,~,~,~,Enum,3,
,,,1-3,8,ACU Node Status ,"1: OK, 0: Timeout",b,0,1,~,~,~,Bool,3,
,,,,9,GR Inv 1 Status,"1: OK, 0: Timeout",b,0,1,~,~,~,Bool,3,
,,,,10,GR Inv 2 Status,"1: OK, 0: Timeout",b,0,1,~,~,~,Bool,3,
,,,,11,GR Inv 3 Status,"1: OK, 0: Timeout",b,0,1,~,~,~,Bool,3,
,,,,12,GR Inv 4 Status,"1: OK, 0: Timeout",b,0,1,~,~,~,Bool,3,
,,,,13,Fan Controller 1,"1: OK, 0: Timeout",b,0,1,~,~,~,Bool,3,
,,,,14,Fan Controller 2,"1: OK, 0: Timeout",b,0,1,~,~,~,Bool,3,
,,,,15,Fan Controller 3,"1: OK, 0: Timeout",b,0,1,~,~,~,Bool,3,
,,,,16,Fan Controller 4,"1: OK, 0: Timeout",b,0,1,~,~,~,Bool,3,
,,,,17,Fan Controller 5,"1: OK, 0: Timeout",b,0,1,~,~,~,Bool,3,
,,,,18,Fan Controller 6,"1: OK, 0: Timeout",b,0,1,~,~,~,Bool,3,
,,,,19,Fan Controller 7,"1: OK, 0: Timeout",b,0,1,~,~,~,Bool,3,
,,,,20,Fan Controller 8,"1: OK, 0: Timeout",b,0,1,~,~,~,Bool,3,
,,,,21,Dash,"1: OK, 0: Timeout",b,0,1,~,~,~,Bool,3,
,,,,22,Steering,"1: OK, 0: Timeout",b,0,1,~,~,~,Bool,3,
,,,,23-31,Reserved for future use,Reserved,~,~,~,~,~,~,~,3,
,,,4,32,Power Level,"Controls the AC current limits to each of the inverters
Discrete Mapping, actual values TBD (16 possible values)",u4,0,15,~,~,~,~,3,
,,,,36,Torque Map,The torque map selected; torque map is the mapping of the throttle to the torque sent to each motor,u4,0,16,~,~,~,~,3,
,,,5,40,Max Cell Temp,the temperature of the hottest cell of the accumulator,u8,0,255,0,63.75,0.25x,Celsius,3,
,,,6,48,Accumulator State of Charge,% charged of the Accumulator,u8,0,255,0,100,20x/51,%,3,
,,,7,56,GLV State of Charge,% charged of the Low Voltage Bat,u8,0,255,0,100,20x/51,%,3,
0x004,ECU Status 2,8,,,,,,,,,,,,4,
,,,0-1,0,Tractive System Voltage,Output terminal voltage of accumulator,u16,0,65535,0,655.35,0.01x,Volts,4,
,,,2-3,16,Vehicle Speed,Absolute value of speed,u16,0,65535,0,655.35,0.01x,MPH,4,
,,,4-5,32,FR Wheel RPM,Wheel RPM,u16,0,65535,-3276.8,3276.7,0.1x-3276.8,RPM,4,
,,,6-7,48,FL Wheel RPM,Wheel RPM,u16,0,65535,-3276.8,3276.7,0.1x-3276.8,RPM,4,
