Device,Message Name,CAN ID,Length,Byte,Bit Start,Data Name,Description,Data Type,Min,Max,Scaled Min,Scaled Max,Map Equation,Units,
DTI,DTI Control 1,116,2,,,,,,,,,,,,https://drive.google.com/file/d/18WqW30AykNudS3VukyKqq-GsveZrWgq1/view
,,,,0-2,0,Target AC Current,"This command sets the target motor AC current (peak, not
RMS). When the controller receives this message, it
automatically switches to current control mode.
This value must not be above the limits of the inverter and must
be multiplied by 10 before sending. This is a signed parameter,
and the sign represents the direction of the torque which
correlates with the motor AC current. (For the correlation, please
refer to the motor parameters) 
",,,,,,,,
DTI,DTI Control 2,216,2,,,,,,,,,,,,
,,,,0-2,0,Target Brake Current,"Targets the brake current of the motor. It will result negative
torque relatively to the forward direction of the motor.
This value must be multiplied by 10 before sending, only
positive currents are accepted.",,,,,,,,
DTI,DTI Control 3,316,4,,,,,,,,,,,,
,,,,0-3,0,Target ERPM,"This command enables the speed control of the motor with a
target ERPM. This is a signed parameter, and the sign
represents the direction of the spinning. For better operation you
need to tune the PID of speed control.
Equation: ERPM = Motor RPM * number of the motor pole pairs",,,,,,,,
DTI,DTI Control 4,416,2,,,,,,,,,,,,
,,,,0-2,0,Target Position,"This value targets the desired position of the motor in degrees.
This command is used to hold a position of the motor.
This feature is enabled only if encoder is used as position
sensor. The value has to be multiplied by 10 before sending.",,,,,,,,
DTI,DTI Control 5,516,2,,,,,,,,,,,,
,,,,0-2,0,R-AC Current,"This command sets a relative AC current to the minimum and
maximum limits set by configuration. This achieves the same
function as the “Set AC current” command. Gives you a freedom
to send values between -100,0% and 100,0%. You do not need
to know the motor limit parameters.
This value must be between -100 and 100 and must be
multiplied by 10 before sending. ",,,,,,,,
DTI,DTI Control 6,616,2,,,,,,,,,,,,
,,,,0-2,0,R-AC Brake Current,"Targets the relative brake current of the motor. It will result
negative torque relatively to the forward direction of the motor.
This value must be between 0 and 100 and must be multiplied
by 10 before sending Gives you a freedom to send values
between 0% and 100,0%. You do not need to know the motor
limit parameters.
This value must be between 0 and 100 and has to be multiplied
by 10 before sending ",,,,,,,,
DTI,DTI Control 7,716,1,,,,,,,,,,,,
,,,,0,0,Digital Output 1,Sets the digital output 1 to HIGH (1) or LOW (0) state ,,,,,,,,
,,,,,1,Digital Output 2,Sets the digital output 1 to HIGH (1) or LOW (0) state ,,,,,,,,
,,,,,2,Digital Output 3,Sets the digital output 1 to HIGH (1) or LOW (0) state ,,,,,,,,
,,,,,3,Digital Output 4,Sets the digital output 1 to HIGH (1) or LOW (0) state ,,,,,,,,
DTI,DTI Control 8,816,2,,,,,,,,,,,,
,,,,0-2,0,Max AC Current,"This value determines the maximum allowable drive current on
the AC side. With this function you are able maximize the
maximum torque on the motor.
The value must be multiplied by 10 before sending. ",,,,,,,,
DTI,DTI Control 9,916,2,,,,,,,,,,,,
,,,,0-2,0,Max Brake AC Current,"This value sets the maximum allowable brake current on the AC
side.
This value must be multiplied by 10 before sending, only
negative currents are accepted.",,,,,,,,
DTI,DTI Control 10,A16,2,,,,,,,,,,,,
,,,,0-2,0,Max DC Current,"This value determines the maximum allowable drive current on
the DC side. With this command the BMS can limit the
maximum allowable battery discharge current.
The value has to be multiplied by 10 before sending. ",,,,,,,,
DTI,DTI Control 11,B16,2,,,,,,,,,,,,
,,,,0-2,0,Max Brake DC Current,"This value determines the maximum allowable brake current
on the DC side. With this command the BMS can limit the
maximum allowable battery charge current.
The value has to be multiplied by 10 before sending. Only
negative currents are accepted.",,,,,,,,
DTI,DTI Control 12,C16,1,,,,,,,,,,,,
,,,,0,0,Drive Enable,"0: Drive not allowed
1: Drive allowed
Only 0 and 1 values are accepted. Must be sent periodically to
be enabled.",,,,,,,,
DTI,DTI Data 1,2016,8,,,,,,,,,,,,
,,,,0-3,0,ERPM,"Electrical RPM
Equation: ERPM = Motor RPM * number of the motor pole pairs.",,,,,,,,
,,,,4-5,32,Duty Cycle,"The controller duty cycle. The sign of this value will represent
whether the motor is running(positive) current or regenerating
(negative) current. ",,,,,,,,
,,,,6-7,48,Input Voltage,Input voltage is the DC voltage. ,,,,,,,,
DTI,DTI Data 2,2116,8,,,,,,,,,,,,
,,,,0-1,0,AC Current,"The motor current. The sign of this value represents whether the
motor is running(positive) current or regenerating (negative)
current. ",,,,,,,,
,,,,2-3,16,DC Current,"DC Current: Current on DC side. The sign of this value
represents whether the motor is running(positive) current or
regenerating (negative) current. ",,,,,,,,
,,,,4-7,32,RESERVED,Filled with FF’s. For future use. ,,,,,,,,
DTI,DTI Data 3,2216,8,,,,,,,,,,,,
,,,,0-1,0,Controller Temp,Temperature of the inverter semiconductors. ,,,,,,,,
,,,,2-3,16,Motor Temp,Temperature of the motor measured by the inverter ,,,,,,,,
,,,,4,32,Fault Codes,"0x00 : NO FAULTS
0x01 : Overvoltage - The input voltage is higher than the set
maximum.
0x02 : Undervoltage - The input voltage is lower than the set
minimum.
0x03 : DRV - Transistor or transistor drive error
0x04 : ABS. Overcurrent - The AC current is higher than the
set absolute maximum current.
0x05 : CTLR Overtemp. - The controller temperature is higher
than the set maximum.
0x06 : Motor Overtemp. - The motor temperature is higher than
the set maximum.
0x07 : Sensor wire fault - Something went wrong with the
sensor differential signals.
0x08 : Sensor general fault - An error occurred while
processing the sensor signals
0x09 : CAN Command error - CAN message received contains
parameter out of boundaries
0x0A : Analog input error – Redundant output out of range ",,,,,,,,
,,,,5-7,40,RESERVED,Filled with FF’s. For future use. ,,,,,,,,
DTI,DTI Data 4,2316,8,,,,,,,,,,,,
,,,,0-3,0,FOC Id,FOC algorithm component Id. ,,,,,,,,
,,,,4-7,32,FOC Iq,FOC algorithm component Id\q. ,,,,,,,,
DTI,DTI Data 5,2416,8,,,,,,,,,,,,
,,,,0,0,Throttle,Throttle signal derived from analog inputs or CAN2 ,,,,,,,,
,,,,1,8,Brake,Brake signal derived from analog inputs or CAN2 ,,,,,,,,
,,,,2,16,Digital input 1,"1: Digital input is active
0: Digital input is inactive ",,,,,,,,
,,,,,17,Digital input 2,,,,,,,,,
,,,,,18,Digital input 3,,,,,,,,,
,,,,,19,Digital input 4,,,,,,,,,
,,,,,20,Digital output 1,"1: Digital output is active
0: Digital output is inactive ",,,,,,,,
,,,,,21,Digital output 2,,,,,,,,,
,,,,,22,Digital output 3,,,,,,,,,
,,,,,23,Digital output 4,,,,,,,,,
,,,,3,24,Drive Enable,"1: Drive enabled
0: Drive disabled
Drive can be enabled/disbled by the digital input or/and via
CAN2 interface ",,,,,,,,
,,,,4,32,Capacitor temp limit,"1: Capacitor temperature limit active
0: Capacitor temperature limit inactive
The inverter can limit the output power to not to overheat the
internal capacitors. (only valid HW version 3.6 or newer) ",,,,,,,,
,,,,,33,DC current limit,"1: DC current limit active
0: DC current limit inactive ",,,,,,,,
,,,,,34,Drive enable limit,"1: Drive enable limit active
0: Drive enable limit inactive
Indicates whether the drive enable limitation is active or inactive.
Used for software development purposes. For true indication
of the drive state please use byte 3, bit 24 of this message.
",,,,,,,,
,,,,,35,"IGBT acceleration
temperature limit ","1: IGBT acceleration limit active
0: IGBT acceleration limit inactive ",,,,,,,,
,,,,,36,"IGBT temperature
limit ","1: IGBT temperature limit active
0: IGBT temperature limit inactive ",,,,,,,,
,,,,,37,Input voltage limit,"1: Input voltage limit active
0: Input voltage limit inactive",,,,,,,,
,,,,,38,"Motor acceleration
temperature limit ","1: Motor acceleration temperature limit active
0: Motor acceleration temperature limit inactive ",,,,,,,,
,,,,,39,"Motor temperature
limit ","1: Motor temperature limit active
0: Motor temperature limit inactive ",,,,,,,,
,,,,5,40,"RPM min limit ","1: RPM min limit active
0: RPM min limit inactive ",,,,,,,,
,,,,,41,"RPM max limit ","1: RPM max limit active
0: RPM max limit inactive ",,,,,,,,
,,,,,42,Power limit ,"1: Power limit by configuration active
0: Power limit by configuration inactive ",,,,,,,,
,,,,,43,RESERVED,Set to 0.,,,,,,,,
,,,,6,48,RESERVED,Filled with FF’s. For future use.,,,,,,,,
,,,,7,56,CAN Version,"Indicates the CAN map version. For ex: 23 -> 2,3 (V2,3) ",,,,,,,,
IMD,IMD general,18FF01F4,8,,,,,,,,,,,,https://www.bender.de/fileadmin/content/Products/a/e/iso175_SAEJ1939_D00415_N_XXEN.pdf
,,,,0-1,0,R_Iso_Corrected,,,,,,,,,
,,,,2,16,R_Iso_Status,,,,,,,,,
,,,,3,24,Iso_Meas_Count,,,,,,,,,
